NAME,STNAME,STABBR,SCHLEV,YEAR,CCDNF,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,Z32,Z33
UPPER ROCK ISLAND COUNTY FILM CO-OP,ILLINOIS,IL,7,97,0,30000,0,0,30000,28000,11000,0
TENCO/SIRSEA REGIONAL PROGRAM,ILLINOIS,IL,7,97,0,218000,126000,65000,27000,281000,121000,21000
ST. CLAIR BAC INTERGOV REG VOC SYS,ILLINOIS,IL,7,97,0,393000,0,367000,26000,666000,97000,0
ST. CLAIR COUNTY GIFTED CO-OP,ILLINOIS,IL,7,97,0,45000,0,45000,0,49000,33000,33000
TITLE I,ILLINOIS,IL,7,97,0,182000,182000,0,0,175000,143000,140000
BELLEVILLE AREA ELEM FILM CO-OP,ILLINOIS,IL,7,97,0,23000,0,0,23000,21000,8000,0
SANGAMON COUNTY COOP FILM LIBRARY FUND,ILLINOIS,IL,7,97,0,7000,0,0,7000,7000,0,0
SANGAMON AREA SPECIAL EDUCATION,ILLINOIS,IL,7,97,0,10718000,1182000,1749000,7787000,10417000,8508000,5981000
MORGAN & SCOTT GIFTED CO-OP,ILLINOIS,IL,7,97,0,53000,0,0,53000,52000,51000,51000
JOHN OBERLE INSTRUCTIONAL MEDIA CO-OP,ILLINOIS,IL,7,97,0,14000,0,0,14000,4000,0,0
TAZEWELL CTY AREA ED FOR EMPL REG DEL SYS,ILLINOIS,IL,7,97,0,562000,0,218000,344000,487000,167000,5000
SOUTHERN TAZEWELL SPEC ED CO-OP,ILLINOIS,IL,7,97,0,219000,0,70000,149000,219000,124000,118000
CENTRAL VERMILION COUNTY SCHOOL CO-OP,ILLINOIS,IL,7,97,0,12000,0,0,12000,10000,0,0
HENDERSON/WARREN/MERCER FILM CO-OP,ILLINOIS,IL,7,97,0,6000,0,0,6000,7000,0,0
DELABAR VOCATIONAL EDUCATIONAL SYSTEM,ILLINOIS,IL,7,97,0,338000,0,58000,280000,209000,62000,0
ROCK FALLS CURRIC COORD PROGRAM,ILLINOIS,IL,7,97,0,309000,222000,0,87000,89000,4000,4000
THREE RIVERS ED FOR EMPL SYS (TREES),ILLINOIS,IL,7,97,0,1368000,0,1323000,45000,196000,83000,0
TROLACE FILM CO-OP,ILLINOIS,IL,7,97,0,5000,0,0,5000,6000,2000,0
PROJECT BEGIN (NEW NAME),ILLINOIS,IL,7,97,0,337000,0,337000,0,336000,249000,152000
PEOTONE CURRICULUM SERVICE,ILLINOIS,IL,7,97,0,102000,65000,37000,0,85000,24000,0
WILLIAMSON COUNTY REG VOC SYSTEM,ILLINOIS,IL,7,97,0,374000,0,30000,344000,127000,0,0
CAREER EDUCATIONAL ASSOCIATES OF,ILLINOIS,IL,7,97,0,1209000,0,696000,513000,820000,213000,5000
CENTRAL ILLINOIS VOCATIONAL ED CO-OP (CIVEC),ILLINOIS,IL,7,97,0,215000,0,70000,145000,151000,37000,0
KNOWLEDGE INTERACT DIST SYS 6036,MINNESOTA,MN,7,97,0,25000,0,0,25000,19000,5000,0
QUAD COUNTY TELECOMM PROJECT,MINNESOTA,MN,7,97,0,130000,0,0,130000,78000,31000,0
REDWOOD COUNTY TELE NETWORK,MINNESOTA,MN,7,97,0,63000,0,0,63000,74000,0,0
DES MONES RIV VLY TELEMEDIA 6002,MINNESOTA,MN,7,97,0,509000,0,0,509000,513000,0,0
WASIOJA EDUCATION TECH. COOP.,MINNESOTA,MN,7,97,0,216000,0,0,216000,149000,45000,0
ETS-EDUC TELECOM SYSTEM,MINNESOTA,MN,7,97,0,27000,0,0,27000,26000,0,0
EAST CENTRAL MN ED CABLEAST COOP 6003,MINNESOTA,MN,7,97,0,232000,0,0,232000,242000,59000,59000
SOUTHERN EXPOSURE TELE-NETWORK,MINNESOTA,MN,7,97,0,3544000,126000,2308000,1110000,3341000,1845000,1381000
LITTLE CROW TELE MEDIA,MINNESOTA,MN,7,97,0,345000,0,124000,221000,369000,67000,0
NORTHWEST ED TECH COOP 6015,MINNESOTA,MN,7,97,0,32000,0,0,32000,30000,0,0
TRI DISTRICT,MINNESOTA,MN,7,97,0,2123000,0,11000,2112000,2755000,1001000,614000
B.D.R.S.H,MINNESOTA,MN,3,97,0,6737000,400000,3701000,2636000,7598000,4323000,2947000
SW MINN TELECOMMUNICATIONS DIST,MINNESOTA,MN,7,97,0,333000,0,214000,119000,364000,20000,0
CENTRAL MN TELECOMM DISTRICT,MINNESOTA,MN,7,97,0,40000,0,0,40000,40000,29000,0
SOUTH MOUNTAIN-HICKORY COMMON SCHOOL DIST,NEW YORK,NY,6,97,0,144000,0,1000,143000,162000,0,0
NORTHWEST OHIO EDUCATIONAL SERVICE CENTER,OHIO,OH,7,97,0,6950000,888000,3693000,2369000,6252000,4055000,1572000
GUERNSEY-MONROE-NOBLE EDUC SERV CENTER,OHIO,OH,7,97,0,2188000,89000,1767000,332000,1884000,1331000,576000
HOCKING EDUCATIONAL SERVICE CENTER,OHIO,OH,7,97,0,257000,0,256000,1000,258000,197000,0
MID-OHIO EDUCATIONAL SERVICE CENTER,OHIO,OH,7,97,0,6065000,234000,4415000,1416000,5490000,3219000,494000
NORTH CENTERAL OH EDUCATIONAL SERV CENTER,OHIO,OH,7,97,0,6660000,452000,4359000,1849000,6153000,3713000,1431000
ABC SPECIAL SERVICES INTERLOCAL,OKLAHOMA,OK,7,97,0,167000,0,20000,147000,192000,133000,13000
TRI-COUNTY INTERLOCAL COOPERATIVE,OKLAHOMA,OK,7,97,0,486000,236000,1000,249000,469000,278000,102000
SOUTHERN OK AREA VOC-TECH SCH DIST 20,OKLAHOMA,OK,5,97,0,3144000,155000,1295000,1694000,3155000,914000,566000
CLEVELAND COUNTY INTERLOCAL COOPERATIVE,OKLAHOMA,OK,7,97,0,225000,0,0,225000,149000,110000,92000
GARFIELD COUNTY INTERLOCAL,OKLAHOMA,OK,7,97,0,274000,258000,0,16000,284000,145000,142000
WES WATKINS VOC TECH SCHOOL,OKLAHOMA,OK,5,97,0,1900000,247000,1133000,520000,1914000,338000,167000
SOUTHWEST VOC TECH SCHOOL,OKLAHOMA,OK,5,97,0,2267000,168000,776000,1323000,2543000,297000,148000
CHISHOLM TRAIL AREA VOC TECH CTR,OKLAHOMA,OK,5,97,0,1030000,39000,572000,419000,1048000,235000,113000
MCCURTIN COUNTY EDUCATIONAL COOP,OKLAHOMA,OK,7,97,0,718000,443000,161000,114000,794000,411000,58000
OKLAHOMA KIAMICHI SPECIAL SERVICES COOP,OKLAHOMA,OK,7,97,0,250000,8000,0,242000,246000,41000,0
GREEN COUNTRY VOCATIONAL-TECHNICAL SCHOOL,OKLAHOMA,OK,5,97,0,1333000,131000,656000,546000,1349000,405000,196000
OSAGE COUNTY INTERLOCAL COOP,OKLAHOMA,OK,7,97,0,1348000,1108000,148000,92000,1287000,705000,333000
PONTOTOC CO AREA VOC TECH SCHOOL,OKLAHOMA,OK,5,97,0,2520000,55000,1047000,1418000,2472000,454000,230000
SEMINOLE CO INTERLOCAL COOPERATIVE,OKLAHOMA,OK,7,97,0,414000,266000,0,148000,413000,0,0
EASTERN AREA SPECIAL SCHOOL,PENNSYLVANIA,PA,7,97,0,77000,0,0,77000,85000,0,0
SOUTH CENTRAL AREA SPEC SCHOOL,PENNSYLVANIA,PA,7,97,0,152000,0,0,152000,158000,7000,0
