LEAID,NAME,STNAME,STABBR,SCHLEV,YEAR,CCDNF,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,Z32,Z33
4817400,DOSS CONS SCH DIST 024,TEXAS,TX,1,5,1,297000,0,23000,274000,293000,151000,119000
4817460,DOUGLAS IND SCH DIST 911,TEXAS,TX,3,5,1,2847000,56000,1382000,1409000,2644000,1575000,1140000
4817550,DRISCOLL IND SCH DIST 905,TEXAS,TX,1,5,1,4557000,529000,2222000,1806000,4363000,1733000,1176000
4817580,DUBLIN IND SCH DISTRICT 902,TEXAS,TX,3,5,1,11120000,2088000,5819000,3213000,10643000,6227000,4227000
4817610,DUMAS IND SCH DIST 901,TEXAS,TX,3,5,1,29046000,3920000,5470000,19656000,29375000,19016000,13358000
4817640,DUNCANVILLE IND SCH DISTRICT 907,TEXAS,TX,3,5,1,97119000,6471000,34443000,56205000,143137000,58596000,38391000
4817700,EAGLE MT SAGINAW IND SCH DIST 918,TEXAS,TX,3,5,1,74662000,2873000,12133000,59656000,106723000,40102000,29774000
4817730,EAGLE PASS IND SCH DIST 901,TEXAS,TX,3,5,1,108447000,20813000,70810000,16824000,103205000,67448000,43649000
4817760,EANES IND SCH DIST 909,TEXAS,TX,3,5,1,115524000,1827000,6263000,107434000,120723000,34846000,24570000
4817790,EARLY IND SCH DIST 909,TEXAS,TX,3,5,1,11840000,2178000,7002000,2660000,11189000,7296000,5121000
4817830,EAST BERNARD IND SCH DIST 902,TEXAS,TX,3,5,1,7397000,328000,3363000,3706000,7063000,4558000,3214000
4817850,EAST CENTRAL IND SCH DISTRICT 911,TEXAS,TX,3,5,1,62031000,5659000,34246000,22126000,70754000,39570000,25998000
4817880,EAST CHAMBERS IND SCH DIST 903,TEXAS,TX,3,5,1,10040000,981000,4896000,4163000,11021000,5598000,3956000
4817960,EASTLAND IND SCH DISTRICT 903,TEXAS,TX,3,5,1,8513000,559000,4253000,3701000,8657000,5255000,3947000
4818000,ECTOR CO IND SCHOOL DISTRICT 901,TEXAS,TX,3,5,1,190152000,22380000,86427000,81345000,195852000,117901000,79871000
4818030,ECTOR IND SCH DIST 905,TEXAS,TX,3,5,1,2462000,86000,1913000,463000,2313000,1413000,974000
4818060,EDCOUCH ELSA IND SCH DIST 903,TEXAS,TX,3,5,1,52543000,12218000,36543000,3782000,49632000,27591000,18028000
4818070,EDEN IND SCH DISTRICT 901,TEXAS,TX,3,5,1,3010000,231000,1037000,1742000,2792000,1685000,1068000
4818120,EDGEWOOD IND SCH DIST 903,TEXAS,TX,3,5,1,8183000,1454000,3895000,2834000,11511000,5480000,3436000
4818150,EDGEWOOD IND SCH DIST 905,TEXAS,TX,3,5,1,115546000,21091000,78293000,16162000,140836000,68509000,43351000
4818180,EDINBURG IND SCH DIST 904,TEXAS,TX,3,5,1,235134000,39059000,135313000,60762000,228554000,135536000,88907000
4818210,EDNA IND SCH DIST 901,TEXAS,TX,3,5,1,12782000,1875000,5592000,5315000,11243000,6686000,4921000
4818280,EL CAMPO IND SCH DIST 903,TEXAS,TX,3,5,1,28008000,3263000,12226000,12519000,26206000,17051000,11991000
4818300,EL PASO IND SCH DIST 902,TEXAS,TX,3,5,1,511467000,85798000,252013000,173656000,529372000,323882000,214170000
4818330,ELECTRA IND SCH DIST 902,TEXAS,TX,3,5,1,5579000,676000,2905000,1998000,5457000,3048000,2101000
4818360,ELGIN IND SCH DIST 902,TEXAS,TX,3,5,1,26547000,2146000,11648000,12753000,36737000,14889000,10090000
4818390,ELKHART IND SCH DIST 903,TEXAS,TX,3,5,1,9461000,507000,6368000,2586000,8566000,5662000,4122000
4818480,ELYSIAN FIELDS IND SH DISTRICT 906,TEXAS,TX,3,5,1,7480000,598000,2316000,4566000,7122000,4821000,3412000
4818540,ENNIS IND SCH DISTRICT 903,TEXAS,TX,3,5,1,43825000,3906000,17146000,22773000,42070000,27474000,19299000
4818600,ERA INDEP SCH DISTRICT 906,TEXAS,TX,3,5,1,3391000,162000,2097000,1132000,3187000,2009000,1423000
4818660,ETOILE IND SCH DIST 910,TEXAS,TX,1,5,1,1309000,125000,630000,554000,1204000,690000,409000
4818690,EULA IND SCH DISTRICT 906,TEXAS,TX,3,5,1,4510000,261000,2190000,2059000,4627000,2842000,1961000
4818720,EUSTACE IND SCH DIST 905,TEXAS,TX,3,5,1,12554000,838000,5863000,5853000,11760000,6961000,4667000
4818750,EVADALE IND SCH DIST 906,TEXAS,TX,3,5,1,8212000,270000,530000,7412000,8220000,2818000,2059000
4818780,EVANT IND SCH DISTRICT 901,TEXAS,TX,3,5,1,2474000,175000,1504000,795000,2308000,1411000,961000
4818810,EVERMAN IND SCH DIST 904,TEXAS,TX,3,5,1,32084000,3654000,16421000,12009000,35537000,19578000,14125000
4818840,EXCELSIOR IND SCH DIST 906,TEXAS,TX,1,5,1,758000,75000,529000,154000,821000,486000,320000
4818890,EZZELL IND SCH DIST 906,TEXAS,TX,1,5,1,1860000,66000,76000,1718000,1802000,402000,291000
4818900,FABENS IND SCH DISTRICT 903,TEXAS,TX,3,5,1,24519000,4829000,17481000,2209000,23352000,14181000,9366000
4818940,FAIRFIELD IND SCH DISTRICT 902,TEXAS,TX,3,5,1,30885000,2115000,1684000,27086000,29323000,9406000,6396000
4819020,FALLS CITY IND SCH DISTRICT 904,TEXAS,TX,3,5,1,2980000,126000,2006000,848000,2703000,1738000,1223000
4819050,FANNINDEL IND SCH DISTRICT 914,TEXAS,TX,3,5,1,2260000,209000,1467000,584000,2338000,1484000,925000
4819080,FARMERSVILLE IND SCH DIST 904,TEXAS,TX,3,5,1,11996000,664000,6003000,5329000,12287000,6407000,4804000
4819110,FARWELL IND SCH DIST 902,TEXAS,TX,3,5,1,4137000,338000,2331000,1468000,4121000,2512000,1809000
