Year,State Code,State Name,Students,Total Revenue,Federal Revenue,State Revenue,Local Revenue,Total Expenditures,Salaries,Teacher Revenue
1996,OR,Oregon,527756,6222.883302,342.8250934,3386.688167,2493.370042,6496.231213,3449.236011,2346.474507
1996,PA,Pennsylvania,1764117,8108.624315,418.7636081,3123.373336,4566.48737,8324.309555,4335.915362,3096.536114
1996,RI,Rhode Island,148977,7619.914483,388.1538761,3082.160333,4149.600274,7333.071548,4525.315988,3326.312115
1996,SC,South Carolina,635346,5612.072792,449.1348021,2936.041149,2226.89684,5454.767953,3083.675666,2121.891064
1996,SD,South Dakota,136394,5210.845052,494.8384826,1535.074857,3180.931713,5057.539188,2888.030265,2022.251712
1996,TN,Tennessee,881749,4685.974126,385.868314,2230.986369,2069.119443,4858.730773,2883.397656,2059.884389
1996,TX,Texas,3740260,5943.544566,429.8024736,2628.825001,2884.917091,5984.966018,3449.637191,2377.335265
1996,UT,Utah,474907,4286.578214,283.640797,2522.409651,1480.527766,4528.716149,2273.358784,1576.502347
1996,VA,Virginia,1079854,6180.945757,334.9767654,1832.464389,4013.504603,6392.886446,3838.519837,2530.528201
1996,VT,Vermont,101064,9550.759915,363.0669675,2133.865669,7053.827278,9655.436159,4347.502573,3135.033246
1996,WA,Washington,956572,6643.089072,383.364765,4483.613361,1776.110946,6877.044279,3617.390014,2389.649707
1996,WI,Wisconsin,869930,7289.688826,310.8928305,3298.264228,3680.531767,7494.680032,3970.891911,2871.355167
1996,WV,West Virginia,306451,6391.387204,517.4465086,3989.234821,1884.705875,6320.253483,3687.734744,2500.334474
1996,WY,Wyoming,99859,6649.946424,410.6490151,3401.085531,2838.211879,6772.599365,3768.082997,2562.883666
1997,AK,ALASKA,128143,8833.49071,1135.941877,5403.057522,2294.49131,9654.081768,5153.250665,3602.451948
1997,AL,ALABAMA,737386,5399.869268,510.1805567,3388.790945,1500.897766,5375.236308,3096.204701,2126.586347
1997,AR,ARKANSAS,457349,5151.11873,476.9596085,3032.928901,1641.23022,5202.801362,3061.473842,2016.739951
1997,AZ,ARIZONA,783552,5543.042453,517.2483766,2434.447235,2591.346841,5656.752838,3084.37985,2039.970544
1997,CA,CALIFORNIA,5599772,6255.18289,473.2821265,3643.308156,2138.592607,5945.052049,3446.520144,2275.285494
1997,CO,COLORADO,672634,6143.045103,304.6708909,2652.653598,3185.720615,6532.45896,3592.519855,2474.855568
1997,CT,CONNECTICUT,507838,9428.939938,312.0148551,3386.095566,5730.829516,9142.354452,5554.651286,4002.551995
1997,DC,DISTRICT OF COLUMBIA,78648,9048.227546,930.4368833,0,8117.790662,8723.158885,4860.263452,2816.880277
1997,DE,DELAWARE,110245,8153.893601,514.5085945,5223.411493,2415.973514,8069.581387,4222.277654,2983.418749
1997,FL,FLORIDA,2241298,6408.656502,442.701506,3133.256265,2832.698731,6498.354971,3367.875668,2079.664105
