LEAID	CENSUSID	FIPST	FIPSCO	CMSA	NAME	STNAME	STABBR	SCHLEV	YEAR	CCDNF	TOTALREV	TFEDREV	TSTREV	TLOCREV	TOTALEXP	Z32 - TOTAL SALARIES	Z33
1730870	1.45061E+13	17	121	0	PATOKA COMM UNIT SCH DIST 100	Illinois	IL	3	95	1	1922000	145000	973000	804000	1718000	976000	663000
1730900	1.45016E+13	17	31	141600	GEN GEORGE PATTON SCH DIST 133	Illinois	IL	1	95	1	3698000	323000	1511000	1864000	3047000	1707000	1287000
1730930	1.45084E+13	17	167	7880	PAWNEE COMM UNIT SCH DIST 11	Illinois	IL	3	95	1	3377000	60000	603000	2714000	3048000	1848000	1323000
1730990	1.45001E+13	17	1	0	PAYSON COMM UNIT SCH DIST 1	Illinois	IL	3	95	1	2771000	151000	1945000	675000	3003000	1872000	1348000
1731020	1.45089E+13	17	177	0	PEARL CITY SCH DIST 200	Illinois	IL	3	95	1	2595000	72000	1382000	1141000	2489000	1495000	1002000
1731050	1.45101E+13	17	201	6880	PECATONICA COM UNIT SCH DIST 321	Illinois	IL	3	95	1	3036000	53000	1533000	1450000	3310000	2153000	1452000
1731080	1.4509E+13	17	179	6120	PEKIN PUB SCH DIST 108	Illinois	IL	1	95	1	21854000	1634000	9891000	10329000	20421000	11127000	8823000
1731110	1.4509E+13	17	179	6120	PEKIN COMM HIGH SCH DIST 303	Illinois	IL	2	95	1	13032000	368000	4947000	7717000	12407000	6865000	4499000
1731140	1.45046E+13	17	91	3740	PEMBROKE C C SCH DIST 259	Illinois	IL	1	95	1	5926000	705000	4792000	429000	5358000	2963000	1748000
1731200	1.45016E+13	17	31	141600	PENNOYER SCH DIST 79	Illinois	IL	1	95	1	2020000	61000	234000	1725000	1921000	1169000	971000
1731230	1.45072E+13	17	143	6120	PEORIA PUB SCH DIST 150	Illinois	IL	3	95	1	108213000	10574000	49161000	48478000	93437000	62912000	40363000
1731270	1.45072E+13	17	143	6120	PEORIA HTS CU SCH DIST 325	Illinois	IL	3	95	1	5722000	157000	2557000	3008000	4757000	2313000	1737000
1731290	1.45099E+13	17	197	143690	PEOTONE COM UNIT SCH DIST 207 U	Illinois	IL	3	95	1	7634000	197000	2695000	4742000	7056000	3626000	2664000
1731320	1.45075E+13	17	149	0	PERRY SCHOOL DISTRICT 57	Illinois	IL	1	95	1	658000	100000	296000	262000	625000	349000	249000
1731350	1.45075E+13	17	149	0	PERRY COMM HS DIST 172	Illinois	IL	2	95	1	336000	3000	130000	203000	348000	205000	134000
1731380	1.4505E+13	17	99	0	PERU ELEM SCH DIST 124	Illinois	IL	1	95	1	4487000	118000	1498000	2871000	4286000	2462000	1884000
1731410	1.45065E+13	17	129	7880	PORTA COMM UNIT SCH DIST 202	Illinois	IL	3	95	1	7288000	287000	3632000	3369000	6187000	3538000	2440000
1731500	1.45059E+13	17	117	0	SOUTHWESTERN CU SCH DIST 9	Illinois	IL	3	95	1	8822000	368000	5768000	2686000	8117000	5279000	3543000
1731560	1.45073E+13	17	145	0	PINCKNEYVILLE CC SCHOOL DIST 204	Illinois	IL	1	95	1	887000	40000	360000	487000	803000	471000	306000
1731620	1.45073E+13	17	145	0	PINCKNEYVILLE COMM H SCH DIST 10	Illinois	IL	2	95	1	3098000	107000	1646000	1345000	3102000	1622000	1113000
1731710	1.45075E+13	17	149	0	PIKELAND COMM UNIT SCH DIST 10	Illinois	IL	3	95	1	7378000	362000	4387000	2629000	8916000	4361000	3182000
1731740	1.45099E+13	17	197	143690	PLAINFIELD SCH DIST 202	Illinois	IL	3	95	1	26996000	193000	6755000	20048000	27450000	11724000	8432000
1731770	1.45047E+13	17	93	0	PLANO CU SCH DIST 88	Illinois	IL	3	95	1	6676000	70000	2096000	4510000	6294000	3436000	2437000
1731860	1.45072E+13	17	143	6120	PLEASANT HILL SCH DIST69	Illinois	IL	1	95	1	1032000	55000	634000	343000	1071000	459000	310000
1731890	1.45075E+13	17	149	0	PLEASANT HILL CU SCH DIST 3	Illinois	IL	3	95	1	2011000	81000	1068000	862000	1986000	1283000	808000
