NAME	STNAME	STABBR	SCHLEV	YEAR	CCDNF	TOTALREV	TFEDREV	TSTREV	TLOCREV	TOTALEXP	Z32	Z33	V33
HUNTINGDON COUNTY CTC	Pennsylvania	PA	7	14	1	2708000	77000	428000	2203000	2630000	1258000	720000	-2
CTC OF LACKAWANNA COUNTY	Pennsylvania	PA	7	14	1	6058000	944000	977000	4137000	13638000	3087000	1280000	-2
LANCASTER COUNTY CTC	Pennsylvania	PA	7	14	1	24987000	5429000	3457000	16101000	32683000	10563000	4071000	-2
LEBANON COUNTY CTC	Pennsylvania	PA	7	14	1	7978000	1849000	1232000	4897000	7987000	3612000	1918000	-2
LEHIGH CAREER & TECHNICAL INSTITUTE	Pennsylvania	PA	7	14	1	28097000	1265000	4404000	22428000	26689000	12608000	7161000	-2
WILKES-BARRE AREA CTC	Pennsylvania	PA	7	14	1	8919000	569000	1276000	7074000	8620000	4302000	2413000	-2
MERCER COUNTY CAREER CENTER	Pennsylvania	PA	7	14	1	5119000	277000	813000	4029000	4910000	2046000	1014000	-2
MONROE CAREER & TECH INST	Pennsylvania	PA	7	14	1	9705000	614000	1526000	7565000	9245000	4704000	2618000	-2
CENTRAL MONTCO TECHNICAL HIGH SCHOOL	Pennsylvania	PA	7	14	1	7043000	325000	762000	5956000	6893000	3663000	2228000	-2
EASTERN CENTER FOR ARTS & TECHNOLOGY	Pennsylvania	PA	7	14	1	8827000	1149000	992000	6686000	8730000	4134000	2232000	-2
WESTERN MONTGOMERY CTC	Pennsylvania	PA	7	14	1	4747000	116000	597000	4034000	4570000	2456000	1684000	-2
BETHLEHEM AVTS	Pennsylvania	PA	7	14	1	10435000	348000	1390000	8697000	10937000	4760000	2833000	-2
CAREER INSTITUTE OF TECHNOLOGY	Pennsylvania	PA	7	14	1	8337000	301000	980000	7056000	7603000	3738000	1895000	-2
SOMERSET COUNTY TECHNOLOGY CENTER	Pennsylvania	PA	7	14	1	6027000	933000	870000	4224000	6258000	2275000	1064000	-2
SUN AREA TECHNICAL INSTITUTE	Pennsylvania	PA	7	14	1	6780000	204000	861000	5715000	6131000	2489000	1675000	-2
VENANGO TECHNOLOGY CENTER	Pennsylvania	PA	7	14	1	6060000	168000	1002000	4890000	6135000	2290000	1173000	-2
WARREN COUNTY AVTS	Pennsylvania	PA	7	14	1	-2	-2	-2	-2	-2	-2	-2	-2
MON VALLEY CTC	Pennsylvania	PA	7	14	1	2899000	118000	517000	2264000	5669000	1435000	906000	-2
WESTERN AREA CTC	Pennsylvania	PA	7	14	1	5486000	943000	788000	3755000	6546000	2294000	1183000	-2
CENTRAL WESTMORELAND CTC	Pennsylvania	PA	7	14	1	7075000	318000	1288000	5469000	13211000	3348000	2224000	-2
