NAME,STNAME,STABBR,SCHLEV,YEAR,CCDNF,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,Z32,Z33,V33
Wiseburn Elementary,California,CA,N,15,1,112600000,1211000,36325000,75064000,33772000,16320000,10680000,-2
Woodland Joint Unified,California,CA,3,15,1,104223000,8078000,63380000,32765000,96393000,57633000,37714000,10055
Woodside Elementary,California,CA,1,15,1,12944000,129000,787000,12028000,14859000,6289000,4481000,438
Woodville Union Elementary,California,CA,1,15,1,5599000,1065000,4074000,460000,5653000,2748000,1914000,481
Wright Elementary,California,CA,1,15,1,18062000,1383000,9879000,6800000,18823000,8265000,5961000,1622
Yreka Union Elementary,California,CA,1,15,1,9726000,1364000,5737000,2625000,9453000,4941000,3630000,984
Yreka Union High,California,CA,2,15,1,9111000,778000,4628000,3705000,8942000,4604000,3056000,670
Yuba City Unified,California,CA,3,15,1,136638000,12014000,88149000,36475000,130964000,76964000,50031000,13366
Yucaipa-Calimesa Joint Unified,California,CA,3,15,1,91500000,6329000,62096000,23075000,85147000,49414000,33669000,9779
Irvine Unified,California,CA,3,15,1,310783000,12489000,56279000,242015000,438874000,182050000,119148000,31392
Amador County Office of Education,California,CA,5,15,1,10718000,1172000,4740000,4806000,11285000,6804000,4325000,209
Butte County Office of Education,California,CA,5,15,1,72580000,27259000,23047000,22274000,70034000,31907000,11057000,1113
Calaveras County Office of Education,California,CA,5,15,1,14026000,1655000,10118000,2253000,14963000,7016000,3200000,562
Colusa County Office of Education,California,CA,5,15,1,12608000,3971000,6220000,2417000,12995000,7451000,3974000,0
